property	categories
P813	Q18608359,Q18636219,Q18616576,Q18668171
P854	Q18608359,Q18616576
P887	Q18608359,Q18616576
P1343	Q18608359,Q18616576
P1683	Q18608359,Q18616576,Q29575308
P2960	Q18608359,Q18616576
P3452	Q18608359,Q18616576
P3865	Q18608359,Q18616576
P19	Q18608756,Q18635217,Q18615777,Q18636233,Q22964785,Q22661913,Q18616576,Q26935994,Q18608871,Q18636219,Q18668171
P20	Q18608756,Q18635217,Q18615777,Q18636233,Q22964785,Q22661913,Q18616576,Q26935994,Q18608871,Q18636219,Q18668171
P119	Q18608756,Q18635217,Q18615777,Q18636233,Q22964785,Q22661913,Q18616576,Q22983697,Q18608871,Q18636219,Q18668171
P157	Q18608756,Q18636233,Q22661913,Q22964785,Q22984026,Q18616576,Q18608871,Q18636219,Q18668171
P509	Q18608756,Q18636233,Q22661913,Q22964785,Q18608871,Q18616576,Q18636219,Q18668171
P569	Q18608756,Q18636219,Q18668171,Q18616576,Q18636233,Q22661913,Q22964785,Q26935994,Q18608871
P570	Q18608756,Q18636233,Q22661913,Q22964785,Q18616576,Q18636219,Q18608871,Q18668171
P746	Q18608756,Q18636219,Q18636233,Q18668171,Q22661913,Q22964785,Q18616576,Q18608871
P1120	Q18608756,Q18636233,Q22661913,Q22964785,Q18616576,Q28100241,Q18608871,Q18636219,Q18668171
P1196	Q18608756,Q18608871,Q18616576,Q18636233,Q22661913,Q22964785,Q18636219,Q18668171
P1317	Q18608756,Q18636233,Q22661913,Q22964785,Q18616576,Q18636219,Q18608871,Q18668171
P1347	Q18608756,Q18636233,Q22661913,Q22964785,Q18608871,Q18616576,Q18636219,Q18668171
P1442	Q18608756,Q18610173,Q18616576,Q18636233,Q22661913,Q22964785,Q26940804,Q18608871,Q18636219,Q18668171
P1464	Q18608756,Q18667213,Q19829914,Q18616576,Q18636233,Q22661913,Q22964785,Q18608871,Q18636219,Q18668171
P1465	Q18608756,Q18667213,Q19829914,Q18616576,Q18636233,Q22661913,Q22964785,Q18608871,Q18636219,Q18668171
P1590	Q18608756,Q18636233,Q22661913,Q22964785,Q28100241,Q18616576,Q18608871,Q18636219,Q18668171
P1791	Q18608756,Q18667213,Q18616576,Q18636233,Q22661913,Q22964785,Q18608871,Q18636219,Q18668171
P3150	Q18608756,Q18636233,Q22661913,Q22964785,Q26935994,Q18616576,Q18608871,Q18636219,Q18668171
P21	Q18608871,Q18616576,Q26935994
P27	Q18608871,Q18616576
P39	Q18608871,Q18616576,Q26935994
P53	Q18608871,Q18616576,Q26935994
P54	Q18608871,Q18616576,Q21818626,Q22984545,Q26935994
P61	Q18608871,Q18616576
P66	Q18608871,Q18615777,Q18616576
P69	Q18608871,Q18616576,Q22984450
P91	Q18608871,Q18616576
P97	Q18608871,Q18616576
P101	Q18608871,Q18608993,Q18616576
P102	Q18608871,Q18616576
P103	Q18608871,Q18616084,Q18616576,Q26935994
P106	Q18608871,Q18616576
P108	Q18608871,Q18616576,Q26935994
P109	Q18608871,Q18610173,Q18616576,Q26940804
P135	Q18608871,Q18608993,Q18618644,Q18616576
P136	Q18608871,Q18618644,Q18616576
P140	Q18608871,Q18616576,Q22983697
P166	Q18608871,Q18608993,Q18618644,Q18616576
P172	Q18608871,Q18616576
P184	Q18608871,Q18616576,Q22984450
P185	Q18608871,Q18616576,Q22984450
P263	Q18608871,Q18616576,Q22984475
P358	Q18608871,Q18616576,Q22965078,Q18618644,Q27525351
P410	Q18608871,Q18616576,Q22964288,Q18608993
P411	Q18608871,Q18616576,Q22983697
P412	Q18608871,Q18616576,Q27525351
P413	Q18608871,Q18616576,Q21818626,Q28106456,Q22984545
P428	Q18608871,Q18616576
P450	Q18608871,Q18616576
P463	Q18608871,Q18608993,Q18616576,Q26935994
P468	Q18608871,Q18616576,Q21818626,Q28106456,Q22984545
P470	Q18608871,Q18616576
P511	Q18608871,Q18616576,Q26935994
P512	Q18608871,Q18616576,Q22984450
P550	Q18608871,Q18616576
P551	Q18608871,Q18615777,Q18616576
P552	Q18608871,Q18616576
P553	Q18608871,Q18608993,Q18616576
P598	Q18608871,Q18616576,Q22964288,Q18608993
P607	Q18608871,Q18616576,Q22964288,Q18608993
P641	Q18608871,Q18608993,Q18616576,Q21818626,Q22984545
P734	Q18608871,Q18616576,Q19643892,Q26935994
P735	Q18608871,Q18616576,Q19643892,Q26935994
P742	Q18608871,Q18616576,Q19643892,Q21099935
P800	Q18608871,Q18616576
P802	Q18608871,Q18616576,Q22984450
P803	Q18608871,Q18616576,Q22984450
P811	Q18608871,Q18616576
P812	Q18608871,Q18616576,Q22984450
P841	Q18608871,Q18616576
P856	Q18608871,Q18608993,Q18618644,Q18616576,Q24262056,Q24239898,Q26935994
P937	Q18608871,Q18635217,Q18616576,Q18615777,Q22964785
P965	Q18608871,Q18616576,Q21264328
P990	Q18608871,Q18610173,Q18616576,Q26935994
P1000	Q18608871,Q18616576
P1035	Q18608871,Q18616576
P1049	Q18608871,Q18616576,Q22983697
P1050	Q18608871,Q18616576,Q19887775
P1066	Q18608871,Q18616576,Q22984450
P1283	Q18608871,Q18616576
P1303	Q18608871,Q18616576,Q27525351
P1318	Q18608871,Q18616576
P1321	Q18608871,Q18616576
P1327	Q18608871,Q18616576
P1340	Q18608871,Q18616576
P1344	Q18608871,Q18608993,Q18616576
P1345	Q18608871,Q18616576
P1350	Q18608871,Q18616576,Q22964372,Q21818626,Q18608993,Q22984545
P1393	Q18608871,Q18616576
P1399	Q18608871,Q18616576,Q22984026
P1411	Q18608871,Q18616576
P1412	Q18608871,Q18616084,Q18616576,Q26935994
P1416	Q18608871,Q18616576
P1429	Q18608871,Q18616576
P1449	Q18608871,Q18608993,Q18616576,Q19643892,Q26935994
P1455	Q18608871,Q18616576
P1472	Q18608871,Q18610173,Q18616576
P1477	Q18608871,Q18616576,Q19643892,Q26935994
P1543	Q18608871,Q18610173,Q18616576,Q26940804
P1559	Q18608871,Q18616576,Q19643892
P1596	Q18608871,Q18616576,Q22984026
P1598	Q18608871,Q18616576,Q22983697
P1611	Q18608871,Q18616576
P1635	Q18608871,Q18616576,Q19643892,Q22983697
P1642	Q18608871,Q18616576,Q21818626,Q28106456,Q22984545
P1643	Q18608871,Q18616576,Q21818626,Q28106456,Q22984545
P1677	Q18608871,Q18616576,Q19887775
P1731	Q18608871,Q18616576,Q27525351
P1735	Q18608871,Q18616576
P1782	Q18608871,Q18616576,Q19643892,Q21099935
P1785	Q18608871,Q18616576,Q19643892,Q21099935
P1786	Q18608871,Q18616576,Q19643892,Q21099935
P1787	Q18608871,Q18616576,Q19643892,Q21099935,Q27918607
P1853	Q18608871,Q18616576
P1875	Q18608871,Q18616576,Q26935994
P1884	Q18608871,Q18616576
P1950	Q18608871,Q18616576,Q19643892
P1962	Q18608871,Q18616576,Q27918607
P2002	Q18608871,Q18608993,Q18616576,Q19847637,Q24262056,Q24239898,Q30041186
P2003	Q18608871,Q18616576,Q19847637,Q18608993,Q30041186
P2021	Q18608871,Q18616576,Q22988631
P2035	Q18608871,Q18616576,Q19847637
P2097	Q18608871,Q18616576,Q21077852
P2218	Q18608871,Q18616576,Q21451178
P2298	Q18608871,Q18616576,Q19847637
P2358	Q18608871,Q18616576,Q19643892
P2359	Q18608871,Q18616576,Q19643892
P2365	Q18608871,Q18616576,Q19643892
P2366	Q18608871,Q18616576,Q19643892
P2416	Q18608871,Q18616576,Q21818626,Q22984545
P2462	Q18608871,Q18615777,Q18616576
P2561	Q18608871,Q18616576,Q19643892
P2650	Q18608871,Q18608993,Q18616576
P2770	Q18608871,Q18608993,Q18616576,Q21451178
P2831	Q18608871,Q18616576,Q22983697
P2838	Q18608871,Q18616576
P2847	Q18608871,Q18608993,Q18616576,Q24262056,Q24239898,Q30041186
P2873	Q18608871,Q18616576,Q21077852
P3091	Q18608871,Q18616576,Q22984363
P3368	Q18608871,Q18616576
P3438	Q18608871,Q18616576,Q22984363
P3502	Q18608871,Q18616576,Q19847637
P3505	Q18608871,Q18616576,Q22984545
P3525	Q18608871,Q18616576,Q21818626,Q28549561,Q22984545
P3526	Q18608871,Q18616576,Q21818626,Q22984545
P3527	Q18608871,Q18616576,Q21818626,Q28549561,Q22984545
P3531	Q18608871,Q18616576,Q21818626,Q22984545
P3532	Q18608871,Q18616576,Q21818626,Q28648960,Q22984545
P3533	Q18608871,Q18616576,Q21818626,Q28549561,Q22984545
P3536	Q18608871,Q18616576,Q21818626,Q28549561,Q22984545
P3538	Q18608871,Q18616576,Q21818626,Q23661205,Q22984545
P3539	Q18608871,Q18616576,Q21818626,Q28648960,Q22984545
P3546	Q18608871,Q18616576,Q21818626,Q22984545
P3716	Q18608871,Q18616576
P3789	Q18608871,Q18608993,Q18616576,Q19847637
P3845	Q18608871,Q18616576,Q22964274,Q18614948,Q27531381,Q19847637
P3899	Q18608871,Q18608993,Q18616576,Q19847637
P3902	Q18608871,Q18616576,Q23038310
P3909	Q18608871,Q18616576
P3919	Q18608871,Q18616576
P3958	Q18608871,Q18616576,Q21818626,Q22984545
P4040	Q18608871,Q18608993,Q18616576,Q27525351
P41	Q18608993,Q18610173,Q18616576,Q22997934,Q26940804
P85	Q18608993,Q18616576,Q22965078,Q18618644,Q27525351
P94	Q18608993,Q18610173,Q18616576,Q22997934,Q26940804
P112	Q18608993,Q18616576
P127	Q18608993,Q18616576,Q30025373
P154	Q18608993,Q18610173,Q18616576,Q26935994,Q26940804
P158	Q18608993,Q18610173,Q18616576,Q22997934,Q26940804
P159	Q18608993,Q18616576
P163	Q18608993,Q18616576,Q22997934
P237	Q18608993,Q18616576,Q22997934
P264	Q18608993,Q18616576,Q22965078,Q18618644,Q27525351
P418	Q18608993,Q18616576,Q22997934
P452	Q18608993,Q18616576,Q21451178
P457	Q18608993,Q18616576,Q22984026
P488	Q18608993,Q18616576
P571	Q18608993,Q18636219,Q18616576,Q18668171
P576	Q18608993,Q18636219,Q18616576,Q18668171,Q24262056,Q24239898
P740	Q18608993,Q18635217,Q18616576,Q18615777,Q22964785
P749	Q18608993,Q18616576,Q21451178
P797	Q18608993,Q18616576,Q22997934
P807	Q18608993,Q18616576
P822	Q18608993,Q18616576,Q22964372,Q21818626,Q22984545
P1027	Q18608993,Q18616576
P1037	Q18608993,Q18616576
P1056	Q18608993,Q18616576
P1239	Q18608993,Q18616576
P1308	Q18608993,Q18616576
P1313	Q18608993,Q18616576,Q22984475,Q22997934
P1342	Q18608993,Q18616576
P1387	Q18608993,Q18616576
P1408	Q18608993,Q18616576
P1410	Q18608993,Q18616576,Q22984475
P1462	Q18608993,Q18616576
P1613	Q18608993,Q18616576
P1640	Q18608993,Q18616576
P1789	Q18608993,Q18616576
P1923	Q18608993,Q18616576,Q21818626,Q22964785,Q28106586,Q22984545
P1961	Q18608993,Q18616576
P1998	Q18608993,Q18616576,Q21818626,Q23660994,Q22984545
P2012	Q18608993,Q18616576,Q23038310
P2124	Q18608993,Q18616576
P2133	Q18608993,Q18616576,Q21451178
P2137	Q18608993,Q18616576,Q21451178
P2139	Q18608993,Q18616576,Q21451178
P2196	Q18608993,Q18616576,Q22984450
P2238	Q18608993,Q18616576
P2388	Q18608993,Q18616576
P2389	Q18608993,Q18616576
P2392	Q18608993,Q18616576,Q22984450
P2541	Q18608993,Q18616576
P2643	Q18608993,Q18616576,Q22984450
P2652	Q18608993,Q18647518,Q18616576
P2813	Q18608993,Q18616576
P2828	Q18608993,Q18616576
P3087	Q18608993,Q18616576,Q21451178
P3125	Q18608993,Q18616576
P3268	Q18608993,Q18616576
P3300	Q18608993,Q18616576,Q27525351
P3320	Q18608993,Q18616576
P3362	Q18608993,Q18616576
P3461	Q18608993,Q18616576
P3975	Q18608993,Q18616576
P3989	Q18608993,Q18616576
P4058	Q18608993,Q18616576,Q19887775
P105	Q18609040,Q22988603,Q18616576
P141	Q18609040,Q22988603,Q18616576
P171	Q18609040,Q22988603,Q18616576
P181	Q18609040,Q18610173,Q18616576,Q22988603,Q26940804
P183	Q18609040,Q22988603,Q18616576
P225	Q18609040,Q22988603,Q21099935,Q18616576
P427	Q18609040,Q22988603,Q18616576
P566	Q18609040,Q22988603,Q18616576
P627	Q18609040,Q19847637,Q22988603,Q18616576
P685	Q18609040,Q19847637,Q22988603,Q18616576
P687	Q18609040,Q19847637,Q22988603,Q18616576
P694	Q18609040,Q22988603,Q18616576
P703	Q18609040,Q22988603,Q18616576
P815	Q18609040,Q19847637,Q22988603,Q18616576
P830	Q18609040,Q19847637,Q22988603,Q18616576
P838	Q18609040,Q19847637,Q22988603,Q18616576
P842	Q18609040,Q19847637,Q22988603,Q18616576
P846	Q18609040,Q19847637,Q22988603,Q18616576
P850	Q18609040,Q19847637,Q22988603,Q18616576
P938	Q18609040,Q19847637,Q22988603,Q18616576
P944	Q18609040,Q22988603,Q18616576
P959	Q18609040,Q19847637,Q22988603,Q18616576
P960	Q18609040,Q19847637,Q22988603,Q18616576
P961	Q18609040,Q19847637,Q22988603,Q18616576
P962	Q18609040,Q19847637,Q22988603,Q18616576
P1070	Q18609040,Q19847637,Q22988603,Q18616576
P1076	Q18609040,Q22988603,Q18616576
P1348	Q18609040,Q22988603,Q18616576
P1391	Q18609040,Q22988603,Q19847637,Q18616576
P1403	Q18609040,Q22988603,Q18616576
P1420	Q18609040,Q22988603,Q18616576
P1421	Q18609040,Q22988603,Q19847637,Q18616576
P1425	Q18609040,Q22988603,Q18616576
P1672	Q18609040,Q22988603,Q18616576
P1703	Q18609040,Q22988603,Q18616576
P1704	Q18609040,Q22988603,Q18616576
P1727	Q18609040,Q22988603,Q19847637,Q18616576
P1743	Q18609040,Q22988603,Q18616576
P1744	Q18609040,Q22988603,Q18616576
P1745	Q18609040,Q22988603,Q19847637,Q18616576
P1746	Q18609040,Q22988603,Q18616576
P1747	Q18609040,Q22988603,Q18616576
P1761	Q18609040,Q22988603,Q19847637,Q18616576
P1772	Q18609040,Q22988603,Q19847637,Q18616576
P1832	Q18609040,Q22988603,Q19847637,Q18616576
P1843	Q18609040,Q22988603,Q18616576
P1895	Q18609040,Q22988603,Q19847637,Q18616576
P1939	Q18609040,Q22988603,Q19847637,Q18616576
P1940	Q18609040,Q22988603,Q19847637,Q18616576
P1991	Q18609040,Q22988603,Q18616576
P1992	Q18609040,Q22988603,Q19847637,Q18616576
P2024	Q18609040,Q22988603,Q18616576
P2026	Q18609040,Q18614948,Q22988603,Q19847637,Q18616576
P2036	Q18609040,Q22988603,Q18616576
P2040	Q18609040,Q22988603,Q18616576
P2250	Q18609040,Q22988603,Q21077852,Q18616576,Q22984494
P2426	Q18609040,Q18614948,Q22988603,Q19847637,Q18616576
P2433	Q18609040,Q22988603,Q18616576
P2434	Q18609040,Q22988603,Q18616576
P2464	Q18609040,Q18614948,Q22988603,Q19847637,Q18616576
P2743	Q18609040,Q18647518,Q18616576,Q22988603
P2752	Q18609040,Q18614948,Q22988603,Q19847637,Q18616576
P2794	Q18609040,Q22988603,Q19847637,Q18616576
P2809	Q18609040,Q22988603,Q19847637,Q18616576
P2833	Q18609040,Q22988603,Q18616576
P2946	Q18609040,Q22988603,Q19847637,Q18616576
P2974	Q18609040,Q22988603,Q18616576
P2975	Q18609040,Q22988603,Q18616576
P3031	Q18609040,Q22988603,Q18616576
P3060	Q18609040,Q22988603,Q19847637,Q18616576
P3064	Q18609040,Q18614948,Q22988603,Q19847637,Q18616576
P3088	Q18609040,Q18614948,Q22988603,Q19847637,Q18616576
P3099	Q18609040,Q22988603,Q18616576
P3100	Q18609040,Q22988603,Q18616576
P3101	Q18609040,Q22988603,Q18616576
P3102	Q18609040,Q18614948,Q22988603,Q19847637,Q18616576
P3105	Q18609040,Q18614948,Q22988603,Q19847637,Q18616576
P3151	Q18609040,Q22988603,Q18616576
P3186	Q18609040,Q22988603,Q19847637,Q18616576
P3240	Q18609040,Q18614948,Q22988603,Q19847637,Q18616576
P3288	Q18609040,Q22988603,Q19847637,Q18616576
P3322	Q18609040,Q18614948,Q22988603,Q19847637,Q18616576
P3337	Q18609040,Q22988603,Q18616576
P3405	Q18609040,Q22988603,Q18616576
P3420	Q18609040,Q18614948,Q22988603,Q19847637,Q18616576
P3444	Q18609040,Q22988603,Q18616576
P3512	Q18609040,Q22988603,Q18616576,Q22984363
P3591	Q18609040,Q18614948,Q22988603,Q19847637,Q18616576
P3606	Q18609040,Q22988603,Q18616576
P3648	Q18609040,Q22988603,Q18616576
P3746	Q18609040,Q22988603,Q18616576
P3795	Q18609040,Q18614948,Q22988603,Q19847637,Q18616576
P4024	Q18609040,Q22988603,Q19847637,Q18616576
P10	Q18610173,Q18616576
P14	Q18610173,Q18616576,Q22984363,Q23069616,Q26940804
P15	Q18610173,Q18616576,Q22984363,Q26940804
P18	Q18610173,Q18616576,Q26935994,Q26940804
P51	Q18610173,Q18616576
P117	Q18610173,Q18616576,Q26940804
P207	Q18610173,Q18616576,Q24041622,Q26940804
P242	Q18610173,Q18616576,Q19829914,Q26940804
P367	Q18610173,Q18616576,Q21451142,Q22981316,Q26940804
P373	Q18610173,Q18667213,Q18616576
P443	Q18610173,Q18616576
P491	Q18610173,Q18616576,Q21451142,Q22981316,Q26940804
P692	Q18610173,Q18616576,Q26940804
P935	Q18610173,Q18616576
P948	Q18610173,Q18616576,Q19829914,Q24262056
P989	Q18610173,Q18616576
P996	Q18610173,Q18616576
P1612	Q18610173,Q18616576
P1621	Q18610173,Q18616576,Q19829914,Q26940804
P1766	Q18610173,Q18616576,Q19829914,Q26940804
P1801	Q18610173,Q18616576,Q26940804
P1846	Q18610173,Q18616576,Q26940804
P1943	Q18610173,Q18616576,Q19829914,Q26940804
P1944	Q18610173,Q18616576,Q19829914,Q26940804
P2343	Q18610173,Q18616576
P2425	Q18610173,Q18616576
P2713	Q18610173,Q18616576,Q26940804
P2716	Q18610173,Q18616576,Q26940804
P2910	Q18610173,Q18616576,Q26940804
P3383	Q18610173,Q18616576,Q22965162,Q18618644,Q27531381
P3451	Q18610173,Q18616576,Q26940804
P3722	Q18610173,Q18616576,Q19829914
P3896	Q18610173,Q18616576,Q19829914
P4004	Q18610173,Q18616576,Q26940804
P4045	Q18610173,Q18720640,Q18616576
P4047	Q18610173,Q18720640,Q18616576
P227	Q18614948,Q19847637,Q18616576
P268	Q18614948,Q19847637,Q18616576
P269	Q18614948,Q19847637,Q18616576
P270	Q18614948,Q19847637,Q18616576
P349	Q18614948,Q19847637,Q18616576
P353	Q18614948,Q19847637,Q18616576
P377	Q18614948,Q19847637,Q18616576,Q28104992
P458	Q18614948,Q19847637,Q18616576,Q22984363,Q23779665
P484	Q18614948,Q19847637,Q18616576,Q22988651,Q24041781
P502	Q18614948,Q19847637,Q21264328,Q18616576,Q22969167
P503	Q18614948,Q19847637,Q18616576
P506	Q18614948,Q19847637,Q18616576
P508	Q18614948,Q19847637,Q18616576
P587	Q18614948,Q19847637,Q18616576,Q22984363,Q23779665
P646	Q18614948,Q19847637,Q18616576
P671	Q18614948,Q19847637,Q18616576
P691	Q18614948,Q19847637,Q18616576
P731	Q18614948,Q19847637,Q18616576,Q22988651
P919	Q18614948,Q19847637,Q18616576,Q24043375
P920	Q18614948,Q19847637,Q18616576
P950	Q18614948,Q19847637,Q18616576
P951	Q18614948,Q19847637,Q18616576
P1005	Q18614948,Q19847637,Q18616576
P1014	Q18614948,Q19847637,Q18616576,Q27918607
P1051	Q18614948,Q19847637,Q18616576
P1149	Q18614948,Q19847637,Q18616576
P1189	Q18614948,Q19847637,Q18616576
P1207	Q18614948,Q19847637,Q18616576
P1294	Q18614948,Q19847637,Q18616576
P1296	Q18614948,Q19847637,Q18616576
P1362	Q18614948,Q19847637,Q18616576
P1375	Q18614948,Q19847637,Q18616576
P1385	Q18614948,Q19847637,Q18616576
P1453	Q18614948,Q19847637,Q18616576,Q22983697
P1471	Q18614948,Q19847637,Q18616576,Q22984363,Q23310071
P1645	Q18614948,Q19847637,Q18616576,Q22981316
P1670	Q18614948,Q19847637,Q18616576
P1695	Q18614948,Q19847637,Q18616576
P1755	Q18614948,Q19847637,Q18616576,Q22984363,Q23069609
P1760	Q18614948,Q19847637,Q18616576,Q22984363,Q23069609
P1769	Q18614948,Q18618628,Q19847637,Q18616576
P1807	Q18614948,Q19847637,Q18616576
P1900	Q18614948,Q19847637,Q18616576
P1928	Q18614948,Q19847637,Q19887775,Q18616576
P1987	Q18614948,Q19847637,Q18616576
P2004	Q18614948,Q19847637,Q18616576
P2037	Q18614948,Q19847637,Q18616576
P2106	Q18614948,Q19847637,Q18616576
P2158	Q18614948,Q19847637,Q18616576,Q22988603,Q27968522
P2163	Q18614948,Q19847637,Q18616576
P2179	Q18614948,Q19847637,Q18616576
P2249	Q18614948,Q19847637,Q18616576,Q22988603
P2263	Q18614948,Q19847637,Q18616576
P2347	Q18614948,Q19847637,Q18616576
P2355	Q18614948,Q19847637,Q20824104,Q18616576
P2357	Q18614948,Q19847637,Q18616576,Q22984450
P2367	Q18614948,Q19847637,Q18616576,Q22988651
P2372	Q18614948,Q19847637,Q18616576
P2397	Q18614948,Q19847637,Q18616576
P2457	Q18614948,Q19847637,Q18616576,Q22984363,Q23779665
P2477	Q18614948,Q19847637,Q18616576
P2479	Q18614948,Q19847637,Q18616576
P2480	Q18614948,Q19847637,Q18616576
P2581	Q18614948,Q19847637,Q18616576
P2612	Q18614948,Q19847637,Q18616576
P2620	Q18614948,Q19847637,Q18616576
P2671	Q18614948,Q19847637,Q18616576
