property	categories
P2689	Q18614948,Q19847637,Q18616576
P2742	Q18614948,Q19847637,Q18616576,Q22988651
P2748	Q18614948,Q19847637,Q18616576
P2751	Q18614948,Q19847637,Q18616576,Q22984545
P2759	Q18614948,Q19847637,Q18616576,Q23038310
P2760	Q18614948,Q19847637,Q18616576,Q23038310
P2812	Q18614948,Q19847637,Q18616576,Q22988631
P2863	Q18614948,Q19847637,Q18616576
P2866	Q18614948,Q19847637,Q18616576
P2867	Q18614948,Q19847637,Q18616576
P2874	Q18614948,Q19847637,Q21294996,Q18616576,Q22988603
P2924	Q18614948,Q19847637,Q18616576
P3021	Q18614948,Q19847637,Q18616576
P3040	Q18614948,Q19847637,Q18616576,Q27525351
P3065	Q18614948,Q19847637,Q18616576
P3074	Q18614948,Q19847637,Q18616576
P3083	Q18614948,Q19847637,Q21451142,Q22981316,Q18616576
P3106	Q18614948,Q19847637,Q18616576
P3123	Q18614948,Q19847637,Q18616576
P3130	Q18614948,Q19847637,Q18616576
P3133	Q18614948,Q19847637,Q18616576
P3183	Q18614948,Q19847637,Q18616576
P3201	Q18614948,Q19847637,Q19887775,Q18616576
P3208	Q18614948,Q19847637,Q21451142,Q22981316,Q18616576
P3221	Q18614948,Q19847637,Q18616576
P3222	Q18614948,Q19847637,Q18616576
P3235	Q18614948,Q19847637,Q18616576
P3241	Q18614948,Q19847637,Q18616576,Q22983697
P3243	Q18614948,Q19847637,Q18616576
P3246	Q18614948,Q19847637,Q18616576
P3265	Q18614948,Q19847637,Q18616576
P3267	Q18614948,Q19847637,Q18616576
P3285	Q18614948,Q19847637,Q18616576,Q22988631
P3289	Q18614948,Q19847637,Q18616576,Q22988603,Q27968522
P3304	Q18614948,Q19847637,Q18616576
P3308	Q18614948,Q19847637,Q18616576
P3328	Q18614948,Q19847637,Q18616576
P3347	Q18614948,Q19847637,Q18616576
P3348	Q18614948,Q19847637,Q18616576
P3365	Q18614948,Q19847637,Q18616576
P3370	Q18614948,Q19847637,Q18616576
P3381	Q18614948,Q19847637,Q18616576
P3390	Q18614948,Q19847637,Q18616576
P3398	Q18614948,Q19847637,Q18616576
P3400	Q18614948,Q19847637,Q18616576
P3479	Q18614948,Q19847637,Q18616576
P3545	Q18614948,Q19847637,Q18616576
P3552	Q18614948,Q19847637,Q18616576
P3553	Q18614948,Q19847637,Q18616576
P3579	Q18614948,Q19847637,Q18616576
P3583	Q18614948,Q19847637,Q18616576,Q21818626,Q28772046,Q22984545
P3710	Q18614948,Q19847637,Q18616576
P3720	Q18614948,Q19847637,Q19887775,Q18616576
P3724	Q18614948,Q19847637,Q18616576
P3743	Q18614948,Q19847637,Q18616576
P3763	Q18614948,Q19847637,Q18616576,Q27525351
P3790	Q18614948,Q19847637,Q18616576
P3794	Q18614948,Q19847637,Q18616576
P3798	Q18614948,Q19847637,Q18616576
P3811	Q18614948,Q19847637,Q18616576,Q22988603
P3827	Q18614948,Q19847637,Q18616576
P3832	Q18614948,Q19847637,Q18616576,Q27659414
P3847	Q18614948,Q19847637,Q18616576
P3859	Q18614948,Q19847637,Q18616576
P3885	Q18614948,Q19847637,Q19887775,Q18616576
P3895	Q18614948,Q19847637,Q18616576,Q23038310
P3905	Q18614948,Q19847637,Q18616576
P3911	Q18614948,Q19847637,Q21451178,Q18616576
P3916	Q18614948,Q19847637,Q18616576,Q22997934,Q18608993,Q29642812
P3917	Q18614948,Q19847637,Q18616576
P3941	Q18614948,Q19847637,Q18616576
P3943	Q18614948,Q19847637,Q18616576
P3962	Q18614948,Q19847637,Q18616576
P3964	Q18614948,Q19847637,Q18616576
P3973	Q18614948,Q19847637,Q18616576
P3984	Q18614948,Q19847637,Q18616576,Q18608993,Q30041186
P3987	Q18614948,Q19847637,Q18616576
P3998	Q18614948,Q19847637,Q18616576
P4003	Q18614948,Q19847637,Q18616576
P4051	Q18614948,Q19847637,Q18616576
P4073	Q18614948,Q19847637,Q18616576,Q18608993,Q30041186
P30	Q18615777,Q18616576
P36	Q18615777,Q18616576
P47	Q18615777,Q18647518,Q18616576
P113	Q18615777,Q18616576,Q22964357,Q23069609,Q18608993,Q22984363
P131	Q18615777,Q18647515,Q18647519,Q18616576
P206	Q18615777,Q18616576
P276	Q18615777,Q18647515,Q18616576,Q22964785
P376	Q18615777,Q18616576,Q21451142,Q22981316
P403	Q18615777,Q18647515,Q18616576,Q24041622
P483	Q18615777,Q18616576,Q22965078,Q18618644,Q27525351
P504	Q18615777,Q18616576,Q22984363,Q23779665
P609	Q18615777,Q18616576,Q22984363
P610	Q18615777,Q18616576
P613	Q18615777,Q18616576
P625	Q18615777,Q18616576,Q24262056,Q24239898,Q26935994
P669	Q18615777,Q18616576,Q22984363,Q26935994
P706	Q18615777,Q18616576
P840	Q18615777,Q18616576,Q22984512,Q18618644,Q29963999
P931	Q18615777,Q18616576,Q22984363,Q23069609
P969	Q18615777,Q18616576,Q21264328,Q22984363,Q24262056,Q24239898,Q26935994
P1259	Q18615777,Q18616576,Q18618644,Q27151329,Q27918607,Q28464773
P1302	Q18615777,Q18616576,Q22984363
P1332	Q18615777,Q18616576
P1333	Q18615777,Q18616576
P1334	Q18615777,Q18616576
P1335	Q18615777,Q18616576
P1376	Q18615777,Q18616576
P1427	Q18615777,Q18616576,Q22964785
P1589	Q18615777,Q18616576
P2672	Q18615777,Q19829908,Q18616576,Q18614948,Q19829914,Q19847637
P2786	Q18615777,Q18616576
P2795	Q18615777,Q18616576,Q24262056,Q24239898
P2825	Q18615777,Q18616576,Q22964785
P3018	Q18615777,Q18616576,Q27642681
P3032	Q18615777,Q18647518,Q18616576
P3096	Q18615777,Q18616576
P3137	Q18615777,Q18616576,Q22988651
P3179	Q18615777,Q18616576,Q28100549
P3403	Q18615777,Q18647518,Q18616576,Q28100549
P3470	Q18615777,Q18616576,Q19847637
P37	Q18616084,Q18616576
P134	Q18616084,Q18616576,Q20824104
P364	Q18616084,Q18618644,Q18616576
P407	Q18616084,Q18618644,Q18616576
P424	Q18616084,Q18616576,Q19847637,Q20824104
P2439	Q18616084,Q18616576
P2936	Q18616084,Q18616576
P31	Q18616576,Q28326730
P121	Q18616576
P129	Q18616576
P150	Q18616576
P155	Q18616576
P156	Q18616576
P176	Q18616576
P186	Q18616576
P205	Q18616576
P523	Q18616576
P524	Q18616576
P547	Q18616576
P561	Q18616576
P567	Q18616576
P568	Q18616576
P624	Q18616576
P684	Q18616576
P707	Q18616576,Q28104992
P737	Q18616576
P793	Q18616576
P837	Q18616576
P886	Q18616576
P913	Q18616576
P963	Q18616576
P968	Q18616576,Q24262056,Q24239898,Q26935994
P973	Q18616576
P1019	Q18616576
P1068	Q18616576
P1083	Q18616576,Q21818626,Q22964966,Q28106485,Q19829914,Q22984545
P1100	Q18616576
P1112	Q18616576,Q22984512,Q29963999,Q18618644
P1114	Q18616576
P1124	Q18616576
P1136	Q18616576
P1137	Q18616576
P1141	Q18616576
P1151	Q18616576
P1195	Q18616576,Q21264328
P1204	Q18616576
P1268	Q18616576
P1269	Q18616576
P1299	Q18616576
P1325	Q18616576
P1329	Q18616576,Q21264328,Q24262056,Q24239898,Q26935994
P1382	Q18616576
P1389	Q18616576
P1400	Q18616576
P1401	Q18616576
P1406	Q18616576
P1423	Q18616576
P1424	Q18616576
P1436	Q18616576
P1451	Q18616576
P1482	Q18616576
P1531	Q18616576
P1535	Q18616576
P1542	Q18616576
P1546	Q18616576
P1549	Q18616576,Q19643892
P1552	Q18616576
P1557	Q18616576
P1576	Q18616576
P1581	Q18616576
P1582	Q18616576
P1641	Q18616576
P1656	Q18616576
P1661	Q18616576
P1668	Q18616576
P1687	Q18616576
P1752	Q18616576
P1806	Q18616576
P1817	Q18616576
P1830	Q18616576
P1833	Q18616576
P1878	Q18616576
P1880	Q18616576
P1910	Q18616576
P1911	Q18616576
P1912	Q18616576
P1913	Q18616576
P1914	Q18616576
P1915	Q18616576
P1916	Q18616576
P1918	Q18616576
P1990	Q18616576
P2079	Q18616576
P2094	Q18616576
P2121	Q18616576
P2184	Q18616576
P2198	Q18616576
P2212	Q18616576
P2283	Q18616576
P2317	Q18616576,Q21264328
P2324	Q18616576
P2341	Q18616576
P2348	Q18616576
P2351	Q18616576
P2353	Q18616576
P2361	Q18616576
P2377	Q18616576
P2378	Q18616576
P2393	Q18616576
P2394	Q18616576,Q22988603
P2405	Q18616576
P2406	Q18616576
P2407	Q18616576
P2422	Q18616576
P2444	Q18616576
P2445	Q18616576
P2578	Q18616576
P2579	Q18616576
P2596	Q18616576
P2667	Q18616576
P2695	Q18616576
P2699	Q18616576
P2702	Q18616576
P2737	Q18616576
P2738	Q18616576
P2817	Q18616576
P2821	Q18616576
P2822	Q18616576
P2846	Q18616576,Q24262056,Q24239898
P2851	Q18616576,Q24262056,Q24239898
P2852	Q18616576
P2868	Q18616576,Q26935994
P2872	Q18616576,Q24262056
P2887	Q18616576
P2888	Q18616576,Q28100549,Q30249126
P2893	Q18616576,Q24262056,Q24239898
P2894	Q18616576
P2896	Q18616576
P2898	Q18616576
P2899	Q18616576
P2900	Q18616576,Q21264328,Q24262056,Q24239898
P2918	Q18616576,Q26935994
P2919	Q18616576
P2922	Q18616576
P2928	Q18616576
P2935	Q18616576
P2997	Q18616576
P2999	Q18616576
P3000	Q18616576
P3001	Q18616576
P3015	Q18616576
P3024	Q18616576
P3037	Q18616576
P3093	Q18616576
P3095	Q18616576
P3113	Q18616576
P3173	Q18616576
P3176	Q18616576
P3205	Q18616576
P3295	Q18616576
P3301	Q18616576,Q21818626,Q22964785,Q28106586,Q22984545
P3321	Q18616576
P3335	Q18616576
P3342	Q18616576
P3380	Q18616576
P3414	Q18616576
P3447	Q18616576
P3587	Q18616576
P3624	Q18616576
P3641	Q18616576
P3643	Q18616576,Q24041622
P3712	Q18616576
P3719	Q18616576
P3729	Q18616576
P3730	Q18616576
P3761	Q18616576
P3793	Q18616576
P3796	Q18616576
P3797	Q18616576
P3817	Q18616576
P3833	Q18616576
P3842	Q18616576
P3878	Q18616576
P3879	Q18616576
P3880	Q18616576
P3912	Q18616576
P3921	Q18616576
P3934	Q18616576
P3970	Q18616576
P3985	Q18616576
P359	Q18618628,Q18614948,Q19847637,Q18616576
P380	Q18618628,Q18614948,Q19847637,Q18616576
P381	Q18618628,Q18614948,Q19847637,Q18616576
P477	Q18618628,Q18614948,Q19847637,Q18616576
P481	Q18618628,Q18614948,Q19847637,Q18616576
P632	Q18618628,Q18614948,Q19847637,Q18616576
P633	Q18618628,Q18614948,Q19847637,Q18616576
P649	Q18618628,Q18614948,Q19847637,Q18616576
P709	Q18618628,Q18614948,Q19847637,Q18616576
P718	Q18618628,Q18614948,Q19847637,Q18616576
P727	Q18618628,Q18614948,Q19847637,Q18616576
P757	Q18618628,Q18614948,Q19847637,Q18616576,Q27642681
P758	Q18618628,Q18614948,Q19847637,Q18616576
P759	Q18618628,Q18614948,Q19847637,Q18616576
P762	Q18618628,Q18614948,Q19847637,Q18616576
P763	Q18618628,Q18614948,Q19847637,Q18616576
P808	Q18618628,Q18614948,Q19847637,Q18616576
P845	Q18618628,Q18614948,Q19847637,Q18616576
P909	Q18618628,Q19829908,Q18614948,Q19829914,Q19847637,Q18616576
P933	Q18618628,Q18614948,Q19847637,Q18616576
P1133	Q18618628,Q18614948,Q19847637,Q18616576
P1216	Q18618628,Q18614948,Q19847637,Q18616576
P1260	Q18618628,Q18614948,Q19847637,Q18616576
P1369	Q18618628,Q18614948,Q19847637,Q18616576
P1371	Q18618628,Q18614948,Q19847637,Q18616576
P1428	Q18618628,Q18614948,Q19847637,Q18616576,Q27918607
P1459	Q18618628,Q18614948,Q19847637,Q18616576,Q19829908,Q19833377,Q22964966,Q28916621,Q18618644,Q19829914
P1460	Q18618628,Q18614948,Q19847637,Q19829908,Q19833377,Q22964966,Q28916621,Q18618644,Q19829914,Q18616576
P1483	Q18618628,Q18614948,Q19847637,Q18616576
P1529	Q18618628,Q18614948,Q19847637,Q18616576
P1551	Q18618628,Q18614948,Q19847637,Q18616576
P1586	Q18618628,Q18614948,Q19847637,Q18616576
P1587	Q18618628,Q18614948,Q19847637,Q18616576
P1600	Q18618628,Q18614948,Q19847637,Q18616576
P1626	Q18618628,Q18614948,Q19847637,Q18616576
P1644	Q18618628,Q18614948,Q19847637,Q18616576,Q22983697
P1700	Q18618628,Q18614948,Q19847637,Q18616576
P1702	Q18618628,Q18614948,Q19847637,Q18616576
P1708	Q18618628,Q18614948,Q19847637,Q18616576
P1715	Q18618628,Q18614948,Q19847637,Q18616576
P1764	Q18618628,Q18614948,Q19847637,Q18616576
P1770	Q18618628,Q18614948,Q19847637,Q18616576
P1794	Q18618628,Q18614948,Q19847637,Q18616576
P1799	Q18618628,Q18614948,Q19847637,Q18616576
P1822	Q18618628,Q18614948,Q19847637,Q18616576
P1949	Q18618628,Q18614948,Q19847637,Q18616576
P2081	Q18618628,Q19829908,Q18614948,Q19829914,Q19847637,Q18616576
P2424	Q18618628,Q18614948,Q19847637,Q18616576
P2473	Q18618628,Q19829908,Q18614948,Q19833377,Q19829914,Q18618644,Q19847637,Q18616576
P2491	Q18618628,Q19829908,Q18614948,Q19829914,Q19847637,Q18616576,Q22984545,Q29110152
P2494	Q18618628,Q18614948,Q19847637,Q18616576
P2526	Q18618628,Q19829908,Q18614948,Q19829914,Q19847637,Q18616576
P2614	Q18618628,Q18614948,Q19847637,Q18616576,Q27642681
P2783	Q18618628,Q18614948,Q19847637,Q19829908,Q19833377,Q22964966,Q28916621,Q18618644,Q19829914,Q18616576
P2845	Q18618628,Q18614948,Q19847637,Q24075706,Q18616576
P2903	Q18618628,Q18614948,Q19847637,Q18616576
P2948	Q18618628,Q18614948,Q19847637,Q18616576
P2951	Q18618628,Q18614948,Q19847637,Q18616576
P2952	Q18618628,Q18614948,Q19847637,Q22984363,Q23779665,Q18616576
P2967	Q18618628,Q18614948,Q19847637,Q18616576
P3007	Q18618628,Q18614948,Q19847637,Q18616576
P3008	Q18618628,Q18614948,Q19847637,Q18616576
P3170	Q18618628,Q18614948,Q19847637,Q18616576
P3177	Q18618628,Q18614948,Q19847637,Q18616576
P3178	Q18618628,Q18614948,Q19847637,Q18616576
P3197	Q18618628,Q18614948,Q19847637,Q19829908,Q19833377,Q22964966,Q28916621,Q18618644,Q19829914,Q18616576
P3227	Q18618628,Q19829908,Q18614948,Q19829914,Q19847637,Q18616576
P3259	Q18618628,Q18614948,Q19847637,Q18616576
P3318	Q18618628,Q18614948,Q19847637,Q18616576
P3353	Q18618628,Q19829908,Q18614948,Q19829914,Q19847637,Q22984363,Q18616576,Q22984545,Q29110152
P3424	Q18618628,Q18614948,Q19847637,Q18616576
P3426	Q18618628,Q18614948,Q19847637,Q18616576
P3443	Q18618628,Q18614948,Q19847637,Q18616576
P3449	Q18618628,Q18614948,Q19847637,Q18616576
P3480	Q18618628,Q18614948,Q19847637,Q18616576
P3503	Q18618628,Q19829908,Q18614948,Q19829914,Q19847637,Q18616576
P3518	Q18618628,Q18614948,Q19847637,Q18616576
P3596	Q18618628,Q18614948,Q19847637,Q18616576
P3600	Q18618628,Q18614948,Q19847637,Q18616576
P3728	Q18618628,Q19829908,Q18614948,Q19829914,Q19847637,Q18616576
P3759	Q18618628,Q19829908,Q18614948,Q19829914,Q19847637,Q18616576
P4037	Q18618628,Q18614948,Q19847637,Q18616576
P4075	Q18618628,Q19829908,Q18614948,Q19829914,Q19847637,Q18616576
P50	Q18618644,Q18616576
P57	Q18618644,Q18616576
P58	Q18618644,Q18616576
P84	Q18618644,Q18616576
P88	Q18618644,Q18616576
P98	Q18618644,Q18616576
P144	Q18618644,Q18616576
P149	Q18618644,Q18616576
P170	Q18618644,Q18616576
P178	Q18618644,Q18616576,Q21126229,Q22963600
P179	Q18618644,Q18616576,Q28326730
P180	Q18618644,Q18616576,Q28464773
P195	Q18618644,Q18616576,Q28326730
P217	Q18618644,Q18616576,Q21264328
P272	Q18618644,Q18616576
P275	Q18618644,Q18616576,Q28464773
P287	Q18618644,Q18616576
P371	Q18618644,Q18616576
P415	Q18618644,Q18616576
P437	Q18618644,Q18616576
P444	Q18618644,Q18616576,Q21099935
P449	Q18618644,Q18616576
P495	Q18618644,Q18616576
P528	Q18618644,Q18616576,Q21264328
P577	Q18618644,Q18636219,Q18616576,Q18668171
P608	Q18618644,Q18616576
P629	Q18618644,Q18616576,Q28326730
P655	Q18618644,Q18616576
P725	Q18618644,Q18616576
P747	Q18618644,Q18616576
P750	Q18618644,Q18616576
P767	Q18618644,Q18616576
P820	Q18618644,Q18616576
P825	Q18618644,Q18616576
P921	Q18618644,Q18616576
P941	Q18618644,Q18616576
P953	Q18618644,Q18616576
P1028	Q18618644,Q18616576,Q27918607
P1113	Q18618644,Q18616576
P1160	Q18618644,Q18616576
P1191	Q18618644,Q18636219,Q18616576,Q18668171,Q22965078,Q24755874,Q27525351
P1240	Q18618644,Q18616576,Q21099935
P1246	Q18618644,Q18616576
P1256	Q18618644,Q18616576
P1257	Q18618644,Q18616576,Q27918607,Q28464773
P1300	Q18618644,Q18616576,Q19847637
P1433	Q18618644,Q18616576
P1435	Q18618644,Q18616576
P1476	Q18618644,Q18616576
P1577	Q18618644,Q18616576
P1638	Q18618644,Q18616576
P1639	Q18618644,Q18616576,Q27918607
P1680	Q18618644,Q18616576
P1684	Q18618644,Q18616576,Q22964966,Q19829914
P1809	Q18618644,Q18616576
P1811	Q18618644,Q18616576
P1922	Q18618644,Q18616576
P1957	Q18618644,Q18616576
P2046	Q18618644,Q18616576,Q21077852
P2047	Q18618644,Q18668171,Q18616576,Q21077852
P2061	Q18618644,Q18616576
P2093	Q18618644,Q18616576,Q21099935
P2130	Q18618644,Q18616576,Q21451178
P2142	Q18618644,Q18616576
P2322	Q18618644,Q18616576,Q21264328
P2360	Q18618644,Q18616576
P2364	Q18618644,Q18616576,Q21264328
P2437	Q18618644,Q18616576
P2507	Q18618644,Q18616576
P2512	Q18618644,Q18616576
P2515	Q18618644,Q18616576,Q27659414
P2540	Q18618644,Q18616576
P2551	Q18618644,Q18616576
P2552	Q18618644,Q18616576,Q21099935
P2554	Q18618644,Q18616576
P2634	Q18618644,Q18616576,Q27151329,Q27918607
P2635	Q18618644,Q18616576
P2675	Q18618644,Q18616576
P2681	Q18618644,Q18616576,Q27918607
P2682	Q18618644,Q18616576,Q27918607
P2739	Q18618644,Q18616576
P2754	Q18618644,Q18616576
P2860	Q18618644,Q18616576
P2913	Q18618644,Q18636219,Q18616576,Q18668171,Q28464773
P3080	Q18618644,Q18616576
P3132	Q18618644,Q18616576
P3174	Q18618644,Q18616576
P3275	Q18618644,Q18616576
P3804	Q18618644,Q18616576,Q22964274,Q18614948,Q27531381,Q19847637
P3893	Q18618644,Q18636219,Q18668171,Q18616576,Q27918607
P3931	Q18618644,Q18616576,Q27918607
P3968	Q18618644,Q18616576,Q19847637,Q22984026
P4032	Q18618644,Q18616576
P4082	Q18618644,Q18616576
P65	Q18635217,Q18615777,Q22964785,Q21451142,Q22981316,Q18616576
P189	Q18635217,Q18615777,Q22964785,Q18616576
P291	Q18635217,Q18615777,Q22964785,Q18616576,Q18618644,Q27918607,Q29546443,Q29561722
P915	Q18635217,Q18615777,Q22964785,Q18616576,Q22965162,Q18618644,Q27531381
P1071	Q18635217,Q18615777,Q22964785,Q18616576
P1158	Q18635217,Q18615777,Q22964785,Q18616576,Q22984363,Q28104992
P2632	Q18635217,Q18636233,Q18615777,Q22964785,Q22661913,Q18616576,Q18608871,Q18636219,Q22984026,Q18668171
P421	Q18636219,Q19829914,Q18668171,Q18616576,Q26935994
P575	Q18636219,Q18668171,Q18616576
P580	Q18636219,Q18668171,Q18616576
P582	Q18636219,Q18668171,Q18616576
P585	Q18636219,Q18668171,Q18616576
P606	Q18636219,Q18668171,Q18616576,Q23069609,Q24041613,Q22984363
P619	Q18636219,Q18668171,Q18616576,Q28104992
P620	Q18636219,Q18668171,Q18616576,Q28104992
P621	Q18636219,Q18668171,Q18616576,Q28104992
P622	Q18636219,Q18668171,Q18616576,Q28104992
P729	Q18636219,Q18668171,Q18616576
P730	Q18636219,Q18668171,Q18616576
P1249	Q18636219,Q18668171,Q18616576
P1619	Q18636219,Q18668171,Q18616576
P1734	Q18636219,Q18668171,Q18616576
P2285	Q18636219,Q18668171,Q21451142,Q22981316,Q18616576
P2669	Q18636219,Q18668171,Q18616576
P1636	Q18636233,Q22661913,Q22964785,Q18608871,Q18616576,Q18636219,Q22983697,Q18668171
P3629	Q18636233,Q22661913,Q22964785,Q18608871,Q18616576,Q18636219,Q18668171
P1222	Q18644427,Q18616576
P279	Q18647515,Q18647519,Q18647521,Q18616576,Q28326461
P361	Q18647515,Q18616576,Q28326461
P460	Q18647515,Q18647518,Q18616576,Q28100549
P527	Q18647515,Q18616576,Q28326461,Q28326730,Q29957815
P26	Q18647518,Q18616576,Q22964231,Q18608871,Q26935994
P190	Q18647518,Q19829914,Q18616576
P451	Q18647518,Q18616576,Q22964231,Q18608871
P461	Q18647518,Q18616576,Q28100549
P1038	Q18647518,Q18616576,Q22964231,Q18608871,Q26935994
P1560	Q18647518,Q19643892,Q18616576
P1696	Q18647518,Q19820110,Q18616576,Q22582645
P1889	Q18647518,Q18616576,Q28100549
P2152	Q18647518,Q18616576
P2789	Q18647518,Q18616576,Q19887775,Q22984363,Q23069616
P2959	Q18647518,Q18616576
P301	Q18667213,Q18616576
P910	Q18667213,Q18616576
P971	Q18667213,Q18616576
P1200	Q18667213,Q18616576,Q24041622
P1740	Q18667213,Q18616576
P1753	Q18667213,Q18616576
P1754	Q18667213,Q18616576
P1792	Q18667213,Q19829914,Q18616576
P2033	Q18667213,Q18616576,Q27151329,Q27918607
P2517	Q18667213,Q18616576
P3709	Q18667213,Q18616576
P3713	Q18667213,Q19820110,Q18616576,Q22582645
P3734	Q18667213,Q18616576
P3876	Q18667213,Q19829914,Q18616576,Q22984450
P2583	Q18668171,Q18616576,Q21077852,Q21451142,Q22981316
P368	Q18720640,Q18616576,Q18618644,Q28464773
P369	Q18720640,Q18616576
P370	Q18720640,Q18616576,Q21099935
P578	Q18720640,Q18616576
P626	Q18720640,Q18616576
P855	Q18720640,Q18616576
P1106	Q18720640,Q18616576
P1450	Q18720640,Q18616576
P2368	Q18720640,Q18616576
P2535	Q18720640,Q18616576,Q22988631
P2536	Q18720640,Q18616576
P214	Q19595382,Q18608871,Q18614948,Q18616576,Q21745557,Q19847637,Q18608993,Q24075706
P244	Q19595382,Q18608871,Q18614948,Q18616576,Q21745557,Q19847637,Q18608993
P245	Q19595382,Q18608871,Q18614948,Q18616576,Q21745557,Q19847637,Q18608993,Q27918607
P271	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P345	Q19595382,Q18608871,Q18614948,Q18616576,Q21264328,Q22964274,Q19847637,Q27531381,Q19833377,Q22965162,Q29542094,Q18618644
P396	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P409	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P434	Q19595382,Q18608871,Q18614948,Q18616576,Q21745557,Q19847637,Q18608993,Q24075706
P496	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P497	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P535	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P536	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637,Q27886949,Q28762481,Q21818626,Q22984545
P549	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637,Q22988631
P586	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P597	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637,Q21818626,Q28649023,Q28649030,Q27886949,Q28762481,Q22984545
P599	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637,Q27886949,Q28762481,Q21818626,Q22984545
P640	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P648	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637,Q19833377,Q27918607,Q29546443,Q29547399,Q29561722,Q18618644
P650	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637,Q27918607
P651	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P723	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P745	Q19595382,Q19833377,Q18608871,Q18614948,Q18616576,Q18618644,Q21745557,Q19847637,Q18608993
P781	Q19595382,Q18608871,Q18614948,Q19847637,Q18616576,Q27918607
P835	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P858	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637,Q21818626,Q28878279,Q22984545
P861	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637,Q21818626,Q28878279,Q22984545
P864	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P866	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P906	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P947	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P949	Q19595382,Q19847637,Q18608871,Q18614948,Q18616576
P1003	Q19595382,Q18608871,Q18614948,Q18616576,Q21745557,Q19847637,Q18608993
P1006	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P1007	Q19595382,Q18608871,Q18614948,Q18616576,Q21745557,Q19847637,Q18608993
P1015	Q19595382,Q19847637,Q18608871,Q18614948,Q18616576
P1017	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P1045	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637,Q22984475
P1047	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637,Q22983697
P1048	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P1053	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P1138	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637,Q27918607
P1146	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637,Q21818626,Q28772038,Q22984545
P1153	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P1157	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P1185	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P1186	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P1187	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P1213	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P1214	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P1220	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P1229	Q19595382,Q19847637,Q18608871,Q18614948,Q18616576
P1233	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P1238	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637,Q21818626,Q23661205,Q22984545
P1253	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P1254	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P1255	Q19595382,Q18608871,Q18614948,Q18616576,Q21745557,Q19847637,Q18608993
P1258	Q19595382,Q18608871,Q18614948,Q18616576,Q22964274,Q19847637,Q27531381,Q19833377,Q22965162,Q29542094,Q18618644
P1263	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P1266	Q19595382,Q18608871,Q18614948,Q18616576,Q22964274,Q19847637,Q27531381
P1273	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P1276	Q19595382,Q19829908,Q18608871,Q18614948,Q18616576,Q19829914,Q21745557,Q19847637,Q18608993
P1280	Q19595382,Q18608871,Q18614948,Q18616576,Q19847637
P1284	Q19595382,Q18608871,Q18614948,Q18616576,Q21745557,Q19847637,Q18608993
P1285	Q19595382,Q18608871,Q18614948,Q18616576,Q21745557,Q21818626,Q19847637,Q22984545,Q18608993
P1286	Q19595382,Q18608871,Q18614948,Q18616576,Q21745557,Q19847637,Q18608993,Q27525351
